educacion;salario
12;38450
18;40400
14;41250
12;32500
11;28100
16;70000
10;30000
18;54050
15;57700
12;50000
18;46500
14;46050
15;45000
16;65900
16;89600
10;47900
15;68000
11;42500
14;41500
12;23550
14;63750
16;80750
12;43650
16;106850
16;52650
16;80100
13;59400
18;40000
17;70850
18;31750
12;50000
14;71200
13;133400
18;33300
17;88950
13;39100
14;78600
13;63700
16;35700
18;54050
12;34600
17;65900
12;61950
13;51350
18;87400
14;49050
17;38500
16;57700
12;57750
13;40400
12;55000
18;57700
12;87450
16;50000
12;23100
18;38450
16;43750
12;68750
17;72600
12;40000
17;87400
12;57550
12;42000
12;48900
12;48150
12;30950
12;22100
15;30000
12;68300
18;82150
16;72750
18;115500
16;84100
12;61750
16;42750
16;53600
15;52000
12;50000
15;33750
12;55000
12;49800
10;36600
11;60000
15;84700
10;34300
13;37700
10;42850
13;41600
13;28950
12;33600
15;125000
12;53800
12;37500
17;59300
16;41650
12;32500
12;62500
15;56100
16;43250
16;40400
18;64950
12;45150
12;45000
12;31250
14;79300
10;48100
17;76950
12;55500
16;64100
12;38500
12;50000
9;44750
10;60250
12;37500
13;32700
12;30050
13;30000
12;21650
12;59400
12;31750
13;61250
12;57550
12;43250
14;51550
12;52450
12;50000
13;55250
18;96200
16;67300
12;40450
18;74750
16;67300
12;60000
12;25000
12;66250
12;45000
12;40000
12;40000
12;51700
12;49000
10;44200
10;24000
18;46150
17;25650
11;55250
12;59650
18;138550
12;38950
11;47500
16;69700
17;74750
12;32500
13;33500
16;56300
12;22500
12;51400
15;120200
18;94950
16;37850
14;62500
16;58100
15;51250
16;55000
16;35700
16;65900
18;70550
17;108100
14;63650
12;57000
13;28900
12;47100
12;52900
14;37500
12;50000
12;47550
12;31750
12;62500
12;33750
12;20000
12;28850
13;29500
16;46150
12;62500
14;55000
12;56500
12;32600
12;30900
16;48100
13;26450
12;40850
16;48100
12;42000
16;43300
14;120200
12;56300
12;58000
12;36150
16;88900
18;95150
18;50500
17;48550
12;26250
12;26250
12;33500
12;25000
14;52900
12;27500
12;25000
15;36350
12;43250
13;54050
17;65200
13;28750
16;31150
13;25750
18;63650
13;49500
12;30000
12;58000
12;25000
12;39750
11;25000
10;37000
16;62500
16;50700
13;62500
14;45650
16;67300
10;22250
12;13250
14;62500
13;80350
16;72600
12;69550
16;41050
16;39700
13;25000
18;26000
18;86500
18;96200
18;57750
15;108100
14;46150
16;55750
12;22450
12;75000
14;41300
12;46850
12;48900
14;51550
12;63600
14;56800
12;40000
12;66950
12;53150
12;46750
12;40400
10;18750
12;26850
12;54100
14;46500
17;57750
11;27400
16;31100
16;42050
18;38450
17;29350
16;96200
12;52900
12;20850
16;60100
14;57700
13;53500
14;60100
18;35550
14;60100
12;42500
16;50000
18;24500
14;50000
16;43250
13;68750
16;79300
15;80100
14;153900
16;44900
14;45300
13;47600
13;28550
12;22250
12;14450
16;72200
12;48100
12;53750
11;45450
12;62500
11;31000
10;50800
10;40000
16;52500
12;53950
17;32700
12;39050
15;51900
16;96200
15;60100
15;33300
14;45250
12;44500
16;40850
12;40600
14;28850
14;37800
12;50550
12;57750
12;51250
12;67500
12;50050
13;39800
13;61500
12;37700
12;35700
15;50000
16;103350
16;45600
12;30000
11;47550
16;35550
12;57550
12;50000
12;42050
12;20000
12;58750
12;60100
12;72100
18;26900
11;39050
10;37500
18;42050
13;35000
16;67300
12;40000
16;62500
16;55250
14;23750
15;38100
12;48100
13;36050
9;40000
16;32900
14;63500
12;65650
12;41200
16;72100
17;70000
12;51900
12;33400
12;55000
14;50000
13;26150
14;55550
16;48100
18;36450
12;34500
11;50500
11;30000
12;29800
12;42500
12;33500
12;39650
17;72100
12;33500
16;43800
18;42050
13;48750
12;61150
12;45500
15;26650
12;37500
12;60300
13;37250
12;45000
14;58500
12;27000
16;27500
14;30750
13;45450
12;38450
13;49200
12;41650
12;43950
12;51350
16;50000
13;23250
13;55000
14;32050
12;51750
14;60600
12;47500
12;46900
16;62500
18;29300
12;34650
12;28100
12;18750
12;33650
17;32700
12;34600
14;55550
16;68400
18;64100
11;62500
15;67300
17;71200
16;42700
15;44400
12;58050
16;29150
12;63000
18;47350
11;92500
12;78750
16;37900
12;72100
13;24450
12;56300
12;50000
12;25000
12;60000
10;28250
12;96000
14;34200
12;38700
16;11650
13;48750
12;68300
16;106850
16;35000
12;60000
13;58050
11;36450
11;37500
12;51300
15;55550
12;31250
16;60000
12;77050
16;57700
13;15500
12;30500
12;87450
16;50000
12;17500
12;38250
12;39500
12;40900
9;23850
14;46900
16;104950
12;17500
12;47000
15;60100
15;22500
16;52900
11;50000
12;15900
11;27800
12;47900
9;49750
14;80000
18;30300
12;25550
16;70550
16;67300
12;76100
14;53750
12;60000
16;68850
13;43700
13;31250
12;62500
13;54100
11;34650
12;36350
15;30750
16;45650
17;44200
12;34900
12;40000
16;40600
11;50000
12;27450
12;65000
16;46150
12;76950
12;36050
12;40750
12;30000
12;55000
12;52900
12;48100
12;21650
11;47000
16;70850
12;50000
13;25000
14;40000
12;38300
14;37500
12;27500
11;39750
12;36150
14;51950
10;10000
10;20000
11;28750
11;42500
12;25400
12;58100
13;59950
16;63500
16;17500
14;48150
15;73150
12;40100
12;32100
13;37550
17;24400
12;70000
18;47000
13;43300
12;33750
14;18750
14;16250
12;17300
17;72100
16;28000
12;27500
16;47500
13;34200
16;66100
12;81700
12;20850
11;23600
12;33300
18;83950
16;51950
13;62500
12;38000
12;57700
15;80100
13;72100
16;43250
12;35250
12;50000
10;42600
12;38500
12;50000
18;66450
16;84100
16;28850
12;34250
16;28850
12;52000
16;62500
13;30000
12;24000
11;50000
12;49400
